ds,y,temp_celsius_houston
2015-01-01 00:00:00,3.09,7.96
2015-01-01 01:00:00,3.06,7.45
2015-01-01 02:00:00,3.04,7.10
2015-01-01 03:00:00,3.03,7.05
2015-01-01 04:00:00,3.05,6.60
2015-01-01 05:00:00,3.20,6.45
2015-01-01 06:00:00,3.21,6.35
2015-01-01 07:00:00,3.22,6.18
2015-01-01 08:00:00,3.25,6.07
2015-01-01 09:00:00,3.26,5.52
2015-01-01 10:00:00,3.34,5.55
2015-01-01 11:00:00,3.33,5.14
2015-01-01 12:00:00,3.25,5.20
2015-01-01 13:00:00,3.23,4.65
2015-01-01 14:00:00,3.21,4.55
2015-01-01 15:00:00,3.20,5.72
2015-01-01 16:00:00,3.22,5.20
2015-01-01 17:00:00,3.77,5.95
2015-01-01 18:00:00,3.83,6.00
2015-01-01 19:00:00,3.51,6.98
2015-01-01 20:00:00,3.40,7.26
2015-01-01 21:00:00,3.29,6.64
2015-01-01 22:00:00,3.22,7.22
2015-01-01 23:00:00,3.17,6.90
2015-01-02 00:00:00,3.13,6.70
2015-01-02 01:00:00,3.09,6.34
2015-01-02 02:00:00,3.08,6.10
2015-01-02 03:00:00,3.08,6.58
2015-01-02 04:00:00,3.14,6.10
2015-01-02 05:00:00,3.24,6.34
2015-01-02 06:00:00,3.68,6.49
2015-01-02 07:00:00,3.52,6.76
2015-01-02 08:00:00,3.40,6.93
2015-01-02 09:00:00,3.38,7.29
2015-01-02 10:00:00,3.39,7.40
2015-01-02 11:00:00,3.29,7.70
2015-01-02 12:00:00,3.26,8.12
2015-01-02 13:00:00,3.23,8.37
2015-01-02 14:00:00,3.21,8.75
2015-01-02 15:00:00,3.19,9.78
2015-01-02 16:00:00,3.21,9.94
2015-01-02 17:00:00,3.60,10.76
2015-01-02 18:00:00,3.67,11.68
2015-01-02 19:00:00,3.39,12.46
2015-01-02 20:00:00,3.35,13.35
2015-01-02 21:00:00,3.27,12.48
2015-01-02 22:00:00,3.22,13.95
2015-01-02 23:00:00,3.17,13.67
2015-01-03 00:00:00,3.15,13.30
2015-01-03 01:00:00,3.04,13.04
2015-01-03 02:00:00,3.02,12.70
2015-01-03 03:00:00,3.02,14.06
2015-01-03 04:00:00,3.03,13.15
2015-01-03 05:00:00,3.12,13.95
2015-01-03 06:00:00,3.19,10.81
2015-01-03 07:00:00,3.22,12.91
2015-01-03 08:00:00,3.30,11.08
2015-01-03 09:00:00,3.26,11.95
2015-01-03 10:00:00,3.25,9.22
2015-01-03 11:00:00,3.20,9.19
2015-01-03 12:00:00,3.15,9.58
2015-01-03 13:00:00,3.07,9.41
2015-01-03 14:00:00,3.03,9.66
2015-01-03 15:00:00,2.99,9.91
2015-01-03 16:00:00,2.98,10.16
2015-01-03 17:00:00,3.20,10.42
2015-01-03 18:00:00,3.20,11.01
2015-01-03 19:00:00,3.18,11.15
2015-01-03 20:00:00,3.18,11.62
2015-01-03 21:00:00,3.17,10.39
2015-01-03 22:00:00,3.09,11.44
2015-01-03 23:00:00,3.04,10.78
2015-01-04 00:00:00,2.99,9.20
2015-01-04 01:00:00,2.94,8.84
2015-01-04 02:00:00,2.89,7.57
2015-01-04 03:00:00,2.82,7.26
2015-01-04 04:00:00,2.96,5.66
2015-01-04 05:00:00,3.05,5.03
2015-01-04 06:00:00,3.12,5.07
2015-01-04 07:00:00,3.15,4.22
2015-01-04 08:00:00,3.22,4.03
2015-01-04 09:00:00,3.25,4.30
2015-01-04 10:00:00,3.25,3.97
2015-01-04 11:00:00,3.23,4.09
2015-01-04 12:00:00,3.22,4.59
2015-01-04 13:00:00,3.20,4.58
2015-01-04 14:00:00,3.18,4.95
2015-01-04 15:00:00,3.16,6.03
2015-01-04 16:00:00,3.18,6.16
2015-01-04 17:00:00,3.58,7.00
2015-01-04 18:00:00,3.55,6.78
2015-01-04 19:00:00,3.39,7.97
2015-01-04 20:00:00,3.37,8.10
2015-01-04 21:00:00,3.36,6.28
2015-01-04 22:00:00,3.30,7.06
2015-01-04 23:00:00,3.27,5.88
2015-01-05 00:00:00,3.11,5.67
2015-01-05 01:00:00,3.10,4.18
2015-01-05 02:00:00,3.09,3.65
2015-01-05 03:00:00,3.12,3.02
2015-01-05 04:00:00,3.24,2.52
2015-01-05 05:00:00,3.44,1.93
2015-01-05 06:00:00,4.54,1.63
2015-01-05 07:00:00,4.17,0.94
2015-01-05 08:00:00,3.64,0.54
2015-01-05 09:00:00,3.44,0.23
2015-01-05 10:00:00,3.29,-0.20
2015-01-05 11:00:00,3.21,-0.54
2015-01-05 12:00:00,3.18,0.29
2015-01-05 13:00:00,3.13,-0.44
2015-01-05 14:00:00,3.09,0.00
2015-01-05 15:00:00,3.09,2.19
2015-01-05 16:00:00,3.10,2.05
2015-01-05 17:00:00,3.33,3.66
2015-01-05 18:00:00,3.55,4.41
2015-01-05 19:00:00,3.35,6.30
2015-01-05 20:00:00,3.33,7.34
2015-01-05 21:00:00,3.23,5.50
2015-01-05 22:00:00,3.15,7.49
2015-01-05 23:00:00,3.06,6.61
2015-01-06 00:00:00,2.98,5.27
2015-01-06 01:00:00,2.92,4.55
2015-01-06 02:00:00,2.92,3.36
2015-01-06 03:00:00,2.96,3.21
