ds,y,temp_celsius_houston
2015-01-01 00:00:00,22.01,7.96
2015-01-01 01:00:00,21.39,7.45
2015-01-01 02:00:00,21.00,7.10
2015-01-01 03:00:00,20.72,7.05
2015-01-01 04:00:00,21.18,6.60
2015-01-01 05:00:00,24.58,6.45
2015-01-01 06:00:00,24.84,6.35
2015-01-01 07:00:00,25.11,6.18
2015-01-01 08:00:00,25.87,6.07
2015-01-01 09:00:00,26.15,5.52
2015-01-01 10:00:00,28.33,5.55
2015-01-01 11:00:00,27.86,5.14
2015-01-01 12:00:00,25.79,5.20
2015-01-01 13:00:00,25.34,4.65
2015-01-01 14:00:00,24.75,4.55
2015-01-01 15:00:00,24.52,5.72
2015-01-01 16:00:00,25.10,5.20
2015-01-01 17:00:00,43.53,5.95
2015-01-01 18:00:00,46.11,6.00
2015-01-01 19:00:00,33.53,6.98
2015-01-01 20:00:00,29.91,7.26
2015-01-01 21:00:00,26.73,6.64
2015-01-01 22:00:00,24.91,7.22
2015-01-01 23:00:00,23.77,6.90
2015-01-02 00:00:00,22.94,6.70
2015-01-02 01:00:00,21.88,6.34
2015-01-02 02:00:00,21.65,6.10
2015-01-02 03:00:00,21.70,6.58
2015-01-02 04:00:00,23.18,6.10
2015-01-02 05:00:00,25.63,6.34
2015-01-02 06:00:00,39.50,6.49
2015-01-02 07:00:00,33.77,6.76
2015-01-02 08:00:00,30.02,6.93
2015-01-02 09:00:00,29.45,7.29
2015-01-02 10:00:00,29.55,7.40
2015-01-02 11:00:00,26.75,7.70
2015-01-02 12:00:00,25.99,8.12
2015-01-02 13:00:00,25.22,8.37
2015-01-02 14:00:00,24.68,8.75
2015-01-02 15:00:00,24.33,9.78
2015-01-02 16:00:00,24.81,9.94
2015-01-02 17:00:00,36.71,10.76
2015-01-02 18:00:00,39.11,11.68
2015-01-02 19:00:00,29.80,12.46
2015-01-02 20:00:00,28.47,13.35
2015-01-02 21:00:00,26.33,12.48
2015-01-02 22:00:00,24.91,13.95
2015-01-02 23:00:00,23.76,13.67
2015-01-03 00:00:00,23.38,13.30
2015-01-03 01:00:00,21.00,13.04
2015-01-03 02:00:00,20.44,12.70
2015-01-03 03:00:00,20.42,14.06
2015-01-03 04:00:00,20.71,13.15
2015-01-03 05:00:00,22.58,13.95
2015-01-03 06:00:00,24.22,10.81
2015-01-03 07:00:00,24.95,12.91
2015-01-03 08:00:00,26.98,11.08
2015-01-03 09:00:00,26.10,11.95
2015-01-03 10:00:00,25.69,9.22
2015-01-03 11:00:00,24.43,9.19
2015-01-03 12:00:00,23.44,9.58
2015-01-03 13:00:00,21.53,9.41
2015-01-03 14:00:00,20.68,9.66
2015-01-03 15:00:00,19.92,9.91
2015-01-03 16:00:00,19.77,10.16
2015-01-03 17:00:00,24.47,10.42
2015-01-03 18:00:00,24.48,11.01
2015-01-03 19:00:00,24.12,11.15
2015-01-03 20:00:00,24.00,11.62
2015-01-03 21:00:00,23.74,10.39
2015-01-03 22:00:00,22.04,11.44
2015-01-03 23:00:00,20.86,10.78
2015-01-04 00:00:00,19.97,9.20
2015-01-04 01:00:00,18.97,8.84
2015-01-04 02:00:00,17.98,7.57
2015-01-04 03:00:00,16.76,7.26
2015-01-04 04:00:00,19.27,5.66
2015-01-04 05:00:00,21.02,5.03
2015-01-04 06:00:00,22.57,5.07
2015-01-04 07:00:00,23.41,4.22
2015-01-04 08:00:00,25.02,4.03
2015-01-04 09:00:00,25.86,4.30
2015-01-04 10:00:00,25.87,3.97
2015-01-04 11:00:00,25.37,4.09
2015-01-04 12:00:00,24.95,4.59
2015-01-04 13:00:00,24.63,4.58
2015-01-04 14:00:00,24.14,4.95
2015-01-04 15:00:00,23.57,6.03
2015-01-04 16:00:00,24.03,6.16
2015-01-04 17:00:00,35.83,7.00
2015-01-04 18:00:00,34.89,6.78
2015-01-04 19:00:00,29.55,7.97
2015-01-04 20:00:00,29.00,8.10
2015-01-04 21:00:00,28.86,6.28
2015-01-04 22:00:00,27.21,7.06
2015-01-04 23:00:00,26.43,5.88
2015-01-05 00:00:00,22.31,5.67
2015-01-05 01:00:00,22.29,4.18
2015-01-05 02:00:00,22.02,3.65
2015-01-05 03:00:00,22.64,3.02
2015-01-05 04:00:00,25.51,2.52
2015-01-05 05:00:00,31.06,1.93
2015-01-05 06:00:00,93.58,1.63
2015-01-05 07:00:00,64.45,0.94
2015-01-05 08:00:00,38.10,0.54
2015-01-05 09:00:00,31.20,0.23
2015-01-05 10:00:00,26.90,-0.20
2015-01-05 11:00:00,24.77,-0.54
2015-01-05 12:00:00,24.12,0.29
2015-01-05 13:00:00,22.87,-0.44
2015-01-05 14:00:00,22.00,0.00
2015-01-05 15:00:00,21.88,2.19
2015-01-05 16:00:00,22.24,2.05
2015-01-05 17:00:00,27.89,3.66
2015-01-05 18:00:00,34.72,4.41
2015-01-05 19:00:00,28.45,6.30
2015-01-05 20:00:00,27.90,7.34
2015-01-05 21:00:00,25.18,5.50
2015-01-05 22:00:00,23.36,7.49
2015-01-05 23:00:00,21.29,6.61
2015-01-06 00:00:00,19.72,5.27
2015-01-06 01:00:00,18.57,4.55
2015-01-06 02:00:00,18.59,3.36
2015-01-06 03:00:00,19.23,3.21
2015-01-06 04:00:00,20.94,1.67
2015-01-06 05:00:00,24.24,1.18
2015-01-06 06:00:00,58.88,1.10
2015-01-06 07:00:00,32.67,0.47
2015-01-06 08:00:00,27.27,0.25
2015-01-06 09:00:00,25.39,0.44
2015-01-06 10:00:00,25.11,0.09
2015-01-06 11:00:00,24.20,0.14
2015-01-06 12:00:00,23.11,2.04
2015-01-06 13:00:00,22.51,1.48
2015-01-06 14:00:00,21.98,2.76
2015-01-06 15:00:00,22.00,5.74
2015-01-06 16:00:00,22.45,6.45
2015-01-06 17:00:00,25.97,8.86
2015-01-06 18:00:00,29.08,9.03
2015-01-06 19:00:00,27.20,12.19
2015-01-06 20:00:00,26.94,13.11
2015-01-06 21:00:00,25.43,10.73
2015-01-06 22:00:00,23.50,12.75
2015-01-06 23:00:00,22.19,11.47
2015-01-07 00:00:00,21.12,10.35
2015-01-07 01:00:00,19.77,9.01
2015-01-07 02:00:00,19.98,7.84
2015-01-07 03:00:00,19.99,7.50
2015-01-07 04:00:00,21.13,6.05
2015-01-07 05:00:00,23.90,5.43
2015-01-07 06:00:00,30.19,5.24
2015-01-07 07:00:00,26.48,4.48
2015-01-07 08:00:00,24.68,4.15
2015-01-07 09:00:00,24.36,4.44
2015-01-07 10:00:00,23.85,3.90
2015-01-07 11:00:00,22.89,3.98
2015-01-07 12:00:00,22.48,6.07
2015-01-07 13:00:00,22.03,5.48
2015-01-07 14:00:00,21.98,6.90
2015-01-07 15:00:00,21.84,7.41
2015-01-07 16:00:00,22.60,9.14
2015-01-07 17:00:00,35.31,9.94
2015-01-07 18:00:00,45.79,10.42
2015-01-07 19:00:00,40.17,11.34
2015-01-07 20:00:00,36.86,11.93
2015-01-07 21:00:00,33.28,9.56
2015-01-07 22:00:00,31.65,11.13
2015-01-07 23:00:00,28.09,9.75
2015-01-08 00:00:00,21.84,9.08
2015-01-08 01:00:00,21.86,7.45
2015-01-08 02:00:00,21.91,6.55
2015-01-08 03:00:00,21.90,5.79
2015-01-08 04:00:00,23.56,4.84
2015-01-08 05:00:00,38.24,4.03
2015-01-08 06:00:00,125.95,3.33
2015-01-08 07:00:00,103.62,2.49
2015-01-08 08:00:00,45.51,1.75
2015-01-08 09:00:00,35.62,1.07
2015-01-08 10:00:00,29.02,0.32
2015-01-08 11:00:00,25.08,-0.38
2015-01-08 12:00:00,24.41,0.12
2015-01-08 13:00:00,23.90,-0.98
2015-01-08 14:00:00,23.40,-0.88
2015-01-08 15:00:00,23.25,0.31
