ds,y,temperature_Houston
1/1/15 0:00,22.01,281.1135
1/1/15 10:00,28.33,278.6973333
1/1/15 11:00,27.86,278.2946667
1/1/15 12:00,25.79,278.35200000000003
1/1/15 13:00,25.34,277.796
1/1/15 14:00,24.75,277.7
1/1/15 15:00,24.52,278.8705
1/1/15 16:00,25.1,278.3523333
1/1/15 17:00,43.53,279.1006667
1/1/15 18:00,46.11,279.1475
1/1/15 19:00,33.53,280.1296667
1/1/15 1:00,21.39,280.6016667
1/1/15 20:00,29.91,280.4103333
1/1/15 21:00,26.73,279.789
1/1/15 22:00,24.91,280.3703333
1/1/15 23:00,23.77,280.0496667
1/1/15 2:00,21.0,280.2533333
1/1/15 3:00,20.72,280.198
1/1/15 4:00,21.18,279.752
1/1/15 5:00,24.58,279.599
1/1/15 6:00,24.84,279.5025
1/1/15 7:00,25.11,279.3306667
1/1/15 8:00,25.87,279.2153333
1/1/15 9:00,26.15,278.66900000000004
1/1/16 0:00,18.42,285.14
1/1/16 10:00,20.6,281.79
1/1/16 11:00,20.61,281.82
1/1/16 12:00,20.3,281.43
1/1/16 13:00,20.07,281.21
1/1/16 14:00,19.09,280.94
1/1/16 15:00,19.34,280.91
1/1/16 16:00,20.07,281.44
1/1/16 17:00,24.94,281.95
1/1/16 18:00,26.25,281.9523623
1/1/16 19:00,23.24,282.33
1/1/16 1:00,16.15,285.13327480000004
1/1/16 20:00,22.79,282.53
1/1/16 21:00,21.36,282.59
1/1/16 22:00,20.32,282.5863219
1/1/16 23:00,19.66,281.83
1/1/16 2:00,15.61,284.0806374
1/1/16 3:00,15.62,284.34
1/1/16 4:00,15.94,283.66
1/1/16 5:00,16.69,283.64542860000006
1/1/16 6:00,18.96,283.0
1/1/16 7:00,19.18,282.76
1/1/16 8:00,19.08,282.689787
1/1/16 9:00,19.66,282.41
1/1/17 0:00,23.23,292.69
1/1/17 10:00,28.0,290.79
1/1/17 11:00,25.06,290.79
1/1/17 12:00,23.71,290.52
1/1/17 13:00,23.25,290.61
1/1/17 14:00,24.0,290.69
1/1/17 15:00,23.22,290.78
1/1/17 16:00,22.94,291.51
1/1/17 17:00,41.99,291.95
1/1/17 18:00,34.99,293.34
1/1/17 19:00,24.97,294.78
1/1/17 1:00,21.82,292.33
1/1/17 20:00,24.28,295.69
1/1/17 21:00,23.22,296.61
1/1/17 22:00,20.19,296.78
1/1/17 23:00,17.92,296.7
1/1/17 2:00,20.16,292.47
1/1/17 3:00,20.0,292.28
1/1/17 4:00,20.24,291.78
1/1/17 5:00,21.45,291.52
1/1/17 6:00,24.35,291.53
1/1/17 7:00,24.06,291.06
1/1/17 8:00,25.48,290.78
1/1/17 9:00,24.94,290.88
1/2/15 0:00,22.94,279.8525
1/2/15 10:00,29.55,280.5526667
1/2/15 11:00,26.75,280.8453333
1/2/15 12:00,25.99,281.267
1/2/15 13:00,25.22,281.5166667
1/2/15 14:00,24.68,281.8953333
1/2/15 15:00,24.33,282.9325
1/2/15 16:00,24.81,283.09166669999996
1/2/15 17:00,36.71,283.9093333
1/2/15 18:00,39.11,284.8305
1/2/15 19:00,29.8,285.6136667
1/2/15 1:00,21.88,279.49066669999996
1/2/15 20:00,28.47,286.5003333
1/2/15 21:00,26.33,285.63
1/2/15 22:00,24.91,287.1023333
1/2/15 23:00,23.76,286.8176667
1/2/15 2:00,21.65,279.25233330000003
1/2/15 3:00,21.7,279.7305
1/2/15 4:00,23.18,279.2533333
1/2/15 5:00,25.63,279.4926667
1/2/15 6:00,39.5,279.637
1/2/15 7:00,33.77,279.908
1/2/15 8:00,30.02,280.084
1/2/15 9:00,29.45,280.435
1/2/16 0:00,18.99,281.82976360000004
1/2/16 10:00,23.4,280.58
1/2/16 11:00,21.84,280.52
1/2/16 12:00,20.78,280.36
1/2/16 13:00,19.68,280.32
1/2/16 14:00,18.29,280.69
1/2/16 15:00,17.94,281.04
1/2/16 16:00,19.34,281.75
1/2/16 17:00,23.48,281.6962116
1/2/16 18:00,23.47,282.24
1/2/16 19:00,21.73,282.61
1/2/16 1:00,17.94,281.39959589999995
1/2/16 20:00,20.73,282.3864037
1/2/16 21:00,19.98,283.28
1/2/16 22:00,19.87,283.35
1/2/16 23:00,18.43,283.3067231
1/2/16 2:00,17.16,281.26
1/2/16 3:00,17.0,281.03
1/2/16 4:00,17.9,281.0271489
1/2/16 5:00,17.65,280.82
1/2/16 6:00,20.12,280.79
1/2/16 7:00,21.34,280.7903393
1/2/16 8:00,23.42,280.89
1/2/16 9:00,24.87,280.79
1/2/17 0:00,17.52,295.07
1/2/17 10:00,23.52,294.77
1/2/17 11:00,24.07,295.33
1/2/17 12:00,24.8,295.16
1/2/17 13:00,24.14,294.78
1/2/17 14:00,24.89,295.25
1/2/17 15:00,22.34,291.83
1/2/17 16:00,23.4,288.97
1/2/17 17:00,50.8,289.94
1/2/17 18:00,30.09,292.59
1/2/17 19:00,24.74,293.87
1/2/17 1:00,17.52,293.43
